asset,type,taille_octets,refs,pages_usages,alt_contextes,risque_nouveau
images/027064cfa81b.jpg,bitmap,19198,2,app\curso-ia\page.tsx; app\institution\page.tsx,alt=Apprenants de la première édition du Programme Intensif d'Intelligence Artificielle Générative de HOJA ACADEMY | alt=Apprenants de la première édition du Programme Intensif d’Intelligence Artificielle Générative de HOJA ACADEMY,CRITIQUE|PHOTO_PERSONNE_REELLE
images/046b18bc6c97.png,bitmap,49114,2,app\empresas\page.tsx; app\institution\page.tsx,title=Expert en ChatGPT | title=Expert en Gemini | title=Expert en Make | label=L'Institution,NEUTRE|-
images/04ebc4d2e02c.webp,bitmap,161612,3,app\institution\page.tsx; app\page.tsx; app\sections\metodolog-propia-deac-section.tsx,,NEUTRE|-
images/063481405e7e.png,bitmap,67114,3,app\curso-de-chatgpt\page.tsx; app\curso-de-gemini\page.tsx; app\curso-de-make\page.tsx,alt=Certificat de Cours Expert,A-CHECK|-
images/065d78c673ad.png,bitmap,177268,5,app\curso-ia\page.tsx; app\page.tsx; app\sections\el-futuro-est-section.tsx; app\sections\en-solo8-section.tsx,,NEUTRE|-
images/06c64cffc9dd.png,bitmap,26392,2,app\curso-ia\page.tsx; app\institution\page.tsx,alt=Apprenants de la deuxième édition du Programme Intensif d'Intelligence Artificielle Générative de HOJA ACADEMY | alt=Apprenants de la deuxième édition du Programme Intensif d’Intelligence Artificielle Générative de HOJA ACADEMY,CRITIQUE|PHOTO_PERSONNE_REELLE
images/06cae0b3370e.png,bitmap,17310,1,app\empresas\page.tsx,alt=Programa de IA para empresas,NEUTRE|-
images/075765901810.png,bitmap,17287,5,app\curso-ia\page.tsx; app\page.tsx; app\sections\el-futuro-est-section.tsx; app\sections\en-solo8-section.tsx,,NEUTRE|-
images/075d4d6a430e.png,bitmap,792457,2,app\curso-ia\page.tsx; app\institution\page.tsx,alt=Apprenants de la quatrième édition du Programme Intensif d'Intelligence Artificielle Générative de HOJA ACADEMY | alt=Apprenants de la quatrième édition du Programme Intensif d’Intelligence Artificielle Générative de HOJA ACADEMY,CRITIQUE|PHOTO_PERSONNE_REELLE
images/081b9bd99eaa.png,bitmap,132433,2,app\curso-ia\page.tsx; app\institution\page.tsx,alt=Apprenants de la deuxième édition du Programme Intensif d'Intelligence Artificielle Générative de HOJA ACADEMY | alt=Apprenants de la deuxième édition du Programme Intensif d’Intelligence Artificielle Générative de HOJA ACADEMY,CRITIQUE|PHOTO_PERSONNE_REELLE
images/08f3e06b1245.jpg,bitmap,20404,1,app\institution\page.tsx,title=Jose María - Programme Intensif d'IA Générative | title=Jose María - Programme Intensif d'IA Générative,NEUTRE|-
images/08fcd45ca6af.png,bitmap,253153,4,app\empresas\page.tsx; app\institution\page.tsx,title=Expert en ChatGPT | title=Expert en Gemini | title=Expert en Make | label=L'Institution,NEUTRE|-
images/0a61ce2d5479.png,bitmap,763552,3,app\page.tsx; app\sections\hero-section.tsx,alt=HOJA ACADEMY | alt=académie IA,NEUTRE|-
images/0c07842406dd.png,bitmap,1773495,2,app\curso-ia\page.tsx; app\institution\page.tsx,alt=Apprenants de la cinquième édition du Programme Intensif d'Intelligence Artificielle Générative de HOJA ACADEMY | alt=Apprenants de la cinquième édition du Programme Intensif d’Intelligence Artificielle Générative de HOJA ACADEMY,CRITIQUE|PHOTO_PERSONNE_REELLE
images/0e371e4cdc12.png,bitmap,13465,1,app\empresas\page.tsx,alt=Programme IA pour entreprises en direct,NEUTRE|-
